"Advanced Software Systems Inc.,(Assyst)", "United States, MD, Gaithersburg", "2006"
"Advanced Solutions Inc.", "United States, NY, Brooklyn", "2006"
"Advanced Video Communications, Inc.", "United States, CA, Los Angeles", "2008"
"Advantage Data", "United States, MA, Boston", "2007"
"Advantage Data Inc.", "United States, MA, Boston", "2009"
"Advantage Interactive", "United Kingdom, London", "2006"
"Advantage Tech, Inc.", "United States, Missouri, Kansas City", "2007"
"AdvantageData", "United States, MA, Boston", "2006"
"Adventure Pictures / Goldsmiths College, University of London", "United Kingdom, London", "2007"
"Advertising and profiling solutions", "United States, TX, Houston", "2010"
"Advertising.com Intl", "United Kingdom, London, London", "2007"
"Adviva Media Ltd", "United Kingdom, London, Fulham", "2006"
"Adviva Media Ltd.", "United Kingdom, London, Fulham", "2006"
"Adzuna", "Clapham, London, UK", "2011"
"Aerodeon", "United Kingdom, London", "2004"
"Affant Communication, Inc.", "United States, CA, Costa Mesa", "2004"
"Affinity Circles", "United States, California, Mountain view", "2007"
"Affinity Circles, Inc", "United States, CA, Mountain View", "2008"
"Agava Software", "Russia, Moscow", "2005"
"Agency is COL", "United States, CA, Mt. View", "2003"
"Aghreni Technologies Private Limited", "India , Karnataka , Bangalore ", "2010"
"Agile", "United States, CO, Denver", "2011"
"Agile Informatics", "United States, California, Fremont", "2010"
"Agilisys", "London, UK", "2012"
"Agorist.net", "Cyprus, Limassol", "2004"
"Agriya Infoway Pvt Ltd", "India, Tamil Nadu, Chennai", "2003"
"Aion Consulting Group", "United States, NE, Omaha", "2007"
"Aipco Inc.", "Canada, Ontario, Gormley", "2008"
"Air Games Wireless Inc.", "Canada, BC, Vancouver", "2002"
"Air2Water LLC", "United States, Californa, Santa Monica ", "2010"
"AirG", "Canada, BC, Vancouver", "2007"
"AirWave", "United States, CA, Sunnyvale", "2009"
"AirWave Wireless", "United States, CA, San Mateo", "2008"
"AirWave Wireless Inc.", "United States, CA, San Mateo", "2006"
"AirWave Wireless, Inc", "United States, CA, San Mateo", "2007"
"Ajilon Consulting - Client is Bank of America", "United States, NC, Charlotte", "2008"
"Ajilon Consutling", "USA, Michigan, Dearborn", "2006"
"Akamai", "United States, VA, Reston", "2010"
"Akamai Technologies", "United States, California, San Mateo ", "2012"
"Akraya Inc", "United States, California, San Jose", "2003"
"Akraya's client -Top 5 independent software company", "United States, CA, Downtown SFO -By the BART", "2006"
"Alacritech, Inc.", "United States, CA, San Jose", "2010"
"Aladdin", "Israel, Petach tikva", "2007"
"Alan Dale Enterprises, Inc.", "United States, California, Los Angeles", "2004"
"Alan Israel Executive Search", "United States, New York, New York", "2005"
"Alan Morris Recruitment", "United Kingdom, London", "2005"
"Alden Associates", "United States, CT, Stamford", "2008"
"Alden Staffing Solutions", "United States, CT, Greenwich", "2008"
"AlertSite", "United States, Florida, Coconut Creek", "2009"
"AlertSite.com", "United States, Florida, Boca Raton", "2004"
"Alertsite", "United States, FL, Coconut Creek", "2010"
"Alex", "Serbia & Montenegro, Serbia, Belgrade", "2004"
"Alexander Ash Consulting", "United Kingdom, London, London", "2007"
"Algomod Technologies", "United States, NY, New York", "2006"
"All Headline News", "United States, Florida, West Palm Beach - South Florida", "2005"
"All Headline News Corp", "United States, Florida, West Palm Beach", "2005"
"All Headline News Corp.", "United States, Florida, Wellington / South Florida", "2005"
"All-Hotels.com (part of Lastminute.com)", "United Kingdom, Scotland, Edinburgh", "2004"
"AllAfrica Global Media", "United States, District of Columbia, Washington D.C.", "2007"
"AllSearch ", "United States, MD, Hunt Valley", "2008"
"AllSearch Professional Staffing", "United States, MD, Hunt Valley", "2008"
"AllStaff Technical/Lockheed Martin", "United States, DC, Washington", "2006"
"Allcheckin Limited", "India, New Delhi", "2005"
"Allegis Group", "United Kingdom, Manchester", "2007"
"Allegro Consulting", "Vienna, Austria", "2012"
"Allen Recruiting", "Undefined", "2008"
"Alliance of Professionals & Consultants Inc", "United States, North Carolina, Raleigh", "2007"
"Alltech", "United States, TN, Nashville", "2008"
"Alltech Inc", "United States, TN, Franklin", "2008"
"Alltech, Inc.", "United States, TN, Nashville", "2009"
"Alltech, Inc. ", "United States, TN, Nashville", "2008"
"AlonaAltar recrutiment", "Israel, Tel Aviv", "2009"
"Alphaeus HR", "India, Karnataka, Bangalore", "2004"
"Alpine", "Undefined", "2007"
"Alvares Search", "Curacau, Noord Holland, Laren (nh) Netherlands", "2009"
"AmBusi", "United States, California, Point Richmond", "2004"
"Amarus International Inc.", "United States, NY, New York", "2008"
"Amazon", "Dresden, Germany", "2013"
"Amazon ", "France, Paris", "2009"
"Amazon.co.uk", "Ireland, Dublin", "2009"
"Amazon.co.uk Ltd", "United Kingdom, Berks, Slough", "2006"
"Amazon.co.uk/ IMDb", "United Kingdom, Bristol", "2009"
"Amazon.com", "United States, WA, Seattle", "2008"
"Amazon.com / IMDb", "United States, WA, Seattle", "2007"
"Amdocs", "Champaign, IL", "2012"
"Amer Technology", "United States, NJ, Jersey city", "2010"
"America Online", "United States, VA, Ashburn", "2005"
"America Online, Inc.", "United States, Virginia, Dulles", "2005"
"American College of Physicians", "United States, Pennsylvania, Philadelphia", "2012"
"American Marketing & Publishing", "United States, IL, Dekalb", "2004"
"American Physical Society", "United States, NY, Ridge", "2006"
"American Public Media - Minnesota Public Radio", "Saint Paul, MN, United States", "2012"
"American Registry for Internet Numbers (ARIN)", "United States, VA, Chantilly", "2004"
"Amitai Aluma and Abigail Holdings LTD", "Israel, Haifa", "2007"
"An MNC Client of CareerNet", "India, Tamil Nadu, Chennai", "2011"
"AnaBus", "United States, Pennsylvania, Jenkintown/Philadelphia", "2004"
"Analysts International", "United States, PA, King of Prussia", "2005"
"Analysts International Corp (AIC)", "United States, Minnesota, Minneapolis(south metro)", "2009"
"Analytical Models", "Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia", "2012"
"AndazG", "United States, IN, Fort Wayne", "2006"
"Andiamo! Group ", "United States, New York, New York", "2010"
"Andrews McMeel Universal - uClick", "United States, Missouri, Kansas City", "2007"
"Anemone", "Greece, Attiki, Athens", "2005"
"Anevia", "France, Paris", "2006"
"Animal Land, Inc.", "ga, Atlanta", "2002"
"Animal Logic", "Australia, Sydney", "2006"
"Anonymizer, INC", "United States, CA, San Diego", "2005"
"Anonymous", "Washington, Seattle", "2012"
"Answers Corp.", "United States, NY, NY", "2009"
"Antopia Inc.", "United States, CA, Los Angeles", "2008"
"Anu Resources Unlimited, Inc.", "United States, OH, Columbus", "2007"
"Anya Services", "Bangalore, India", "2012"
"Apex Sysetms Inc.", "United States, MA, Canton", "2007"
"Apex Systems", "United States, TN, Nashville", "2013"
"Apex Systems Inc", "United States, Florida, Boca Raton", "2010"
"Apex Systems Inc.", "United States, TN, Nashville", "2012"
"Apex Systems Inc. ", "United States, VA, Restone", "2011"
"Apex Systems, Inc.", "United States, VA, Glen Allen", "2012"
"Apex Systems, Inc. (our client is  a large e-commerce company", "United States, CA, Brisbane", "2007"
"Apex Systemsinc", "United States, fl, tampa", "2006"
"AppNexus", "Israel", "2012"
"Apperceptive", "United States, NY, New York City", "2007"
"Apperceptive, LLC", "United States, NY, New York", "2007"
"Apple Computer", "Cupertino, CA", "2012"
"Apple Computer, Inc", "United States, CA, Cupertino", "2006"
"Apple Inc.", "United States, CA, Cupertino", "2011"
"Applied Performance", "United States, Ohio, Worthington", "2001"
"Applied Performance Technologies", "United States, OH, Worthington", "2006"
"Applied System Design", "United States, TX, Austin", "2005"
"Apsion, LLC", "United States, IL, Morton", "2001"
"Aptia Systems", "United States, TX, Houston", "2005"
"Aptia Systems, Inc.", "United States, Texas, Houston", "2005"
"Aquent", "United States, DC, Washington", "2001"
"Aquilent", "United States, MD, Bethesda", "2011"
"Aquins Consulting", "United States, Southern CT", "2009"
"ArcMail Technology", "United States, LA, Shreveport", "2008"
"Arcam Resources Limited", "United Kingdom, LONDON", "2011"
"Archivista GmbH", "Switzerland, Canton of Zurich, Zurich", "2005"
"Arcsight", "CA, Cupertino", "2007"
"Ardis Interactive", "United States, NY, New York City", "2004"
"Ardis Marketing Group", "United States, New York, New York", "2006"
"Ardishealth", "United States, New York, New York", "2009"
"Arguedas, Cassman & Headley", "United States, CA, Berkeley", "2006"
"Argyll Scott Technology", "City of London, UK", "2012"
"Ariadne", "Bethesda, MD, United States", "2012"
"Ariadne Technologies, LLC", "United States, MD, Bethesda", "2010"
"Ariba", "United States, CA, Sunnyvale", "2011"
"Ariba ", "United States, CA, Sunnyvale", "2011"
"Armaguard", "Australia, Victoria, Melbourne", "2011"
"Arrows Group", "UK, United Kingdom, Sussex, Brighton", "2007"
"Art Plus Technology", "United States, Massachusetts, Boston", "2006"
"ArtToday.com, Inc.", "United States, AZ, Tucson", "2002"
"Artemis Resources Limited", "United Kingdom, Berkshire, Windsor", "2004"
"Arts Engine, Inc.", "United States, NY, New York", "2005"
"Aruba Networks", "United States, CA, Sunnyvale", "2013"
"Ascent Consulting", "United States, NY, New York", "2006"
"Ascent Sourcing", "Netherlands, Amsterdam", "2013"
"Ascent sourcing", "Berlin, Germany", "2013"
"Ashdown Group", "Edinburgh, Scotland", "2013"
"Ashton Consulting", "London UK", "2011"
"AsianMall", "Singapore, Singapore, Singapore", "2001"
"Asianminds", "India, Maharashtra, Mumbai", "2003"
"Ask Jeeves", "United States, CA, Oakland", "2005"
"Ask.com (IAC Search and Media)", "United States, CA, Oakland", "2007"
"AskOnline", "United States, MA, Boston", "2005"
"Asmark Institute", "Owensboro, KY, USA", "2012"
"Aspire IT International", "Australia, NSW, Sydney", "2008"
"Assanka", "United Kingdom, London", "2006"
"Assembla", "telecommutig", "2006"
"Association of Commonwealth Universities", "United Kingdom, London", "2004"
"Astaro AG", "Germany, Karlsruhe", "2007"
"Astaro Internet Security", "Germany, Karlsruhe", "2008"
"Astir IT", "United States, NY, New York City", "2010"
"Aston Carter", "United Kingdom, City, London", "2005"
"Aston Carter Ltd.", "U.K., City, London", "2007"
"Astor Malick", "United Kingdom, Watford", "2007"
"Astron", "United States, ny, new york city", "2006"
"At ValueClick, via Accolo", "United States, California, Westlake Village OR Santa Barbara", "2006"
"AtAuction", "United States, Texas, Flower Mound", "2011"
"Athena", "Chennai, India", "2012"
"Athenahealth", "United States, MA, Waltham", "2004"
"Atikon EDV & Marketing GmbH", "Austria, Linz", "2009"
"Atlantic Resource Group", "Richmond, VA", "2012"
"Atlas Intelligence Inc", "United States, CA, Marina Del Rey", "2004"
"Atomic Learning", "United States, MN, Little Falls", "2008"
"Atomic Learning, Inc.", "United States, MN, Little Falls", "2013"
"Atrium", "Columbus, OH", "2011"
"Atrium Personnel & Consulting", "United States, Ohio, Columbus", "2008"
"Atrium Personnel & Consulting Services", "United States, Ohio, Columbus", "2011"
"Audible.com (a division of Amazon.com)", "United States, NJ, Newark ", "2009"
"Auditude", "United States, California, Palo Alto", "2008"
"Augmos", "United States, CA, San Francisco", "2003"
"Aurora Photos", "Portland, Maine", "2012"
"Aussie Outsource", "Australia, N.S.W, Sydney", "2003"
"Austin Programming Solutions", "USA - NO OUTSOURCED VENDORS/AGENCIES, TX, Austin - NO VIRTUAL", "2008"
"Australian College of Rural and Remote Medication", "Australia, QLD, Brisbane", "2008"
"AutoNetTools.com", "Bridgeport, MI", "2011"
"Automated Trading Desk, LLC", "United States, SC, Charleston", "2007"
"Automorphic Software", "India, Karnataka, Bangalore", "2011"
"Automotive Diagnosis", "Spain, Catalunya, Barcelona", "2005"
"Autoweb Communications", "United States, MI, Rochester Hills", "2007"
"Avaleo ApS", "Denmark, Copenhagen", "2006"
"Avance", "Dallas,TX", "2012"
"AvantExperience", "United States", "2009"
"AvantGo/iAnywhere", "United States, CA, Dublin", "2005"
"Avantaxx", "Germany, Elmshorn", "2003"
"Avaya Government Solutions", "United States, DC, Washington", "2011"
"Avecho", "United Kingdom, Essex, Colchester", "2004"
"Avesta Computer Services", "United States, NC, RTP", "2005"
"Aviation Briefing Ltd", "United Kingdom, Devon, Totnes area", "2005"
"Aviation Briefing Ltd (AvBrief)", "United Kingdom, Virtual - but hardware based in South and South West", "2005"
"Aviation Software Inc.", "United States, New York, Suffern", "2007"
"Avira Soft SRL", "Romania, Bucharest, Bucharest", "2008"
"Avira ltd.", "Romania, Bucharest", "2004"
"Avity", "United States, NY, Bronx", "2007"
"Aware", "Brazil, SP, Sao Paulo", "2013"
"Axient", "Netherlands, Groningen, Groningen (NL)", "2007"
"Axiombox", "Anywhere, Anywhere, Anywhere", "2009"
"Axis Sistemas", "Venezuela, Carabobo, Valencia", "2005"
"Axomic", "London, England", "2012"
"Axomic Ltd", "United Kingdom, London", "2012"
"Axoni", "Belgium, Mechelen", "2009"
"Axtel", "Mexico, NL, Monterrey", "2007"
"b-datum", "Brazil, SP, Sao Paulo", "2013"
"B H Technology Partners", "United States, Pennsylvania, Pittsburgh", "2006"
"B&N Software AG", "Germany, 37124 Rosdorf  Goettingen", "2007"
"B2B Logic.net", "Canada, Ontario, Oakville", "2006"
"B2B Staffing Services", "United States, CA, Cypress", "2007"
"B2C Solutions", "Australia, Victoria, Melbourne", "2007"
"BB&T", "Wilson, NC", "2012"
"BBC", "London", "2011"
"BBC ", "UK , London", "2009"
"BBC World Service", "United Kingdom, London", "2008"
"BBC, Future Media and Technology ", "UK , London", "2009"
"BBsect", "United States, NY, Brooklyn", "2008"
"BEI Services", "United States, MN, Minneapolis", "2012"
"BEI Services, Inc", "United States, MN, Minneapolis", "2010"
"BGI", "United States, CA, Vallejo", "2005"
"BGT Recruitment", "United Kingdom, NW10, London", "2006"
"BHH", "Bangalore", "2012"
"BIAS Corporation", "United States, GA, Atlanta", "2008"
"BIAS Resources", "United States, GA, Atlanta", "2007"
"BJ", "Sweden", "2008"
"BM Business Consulting", "Canada, Ontario, Kingston", "2002"
"BMAT Licensing", "Spain, Barcelona", "2007"
"BMC Software", "Woodbridge Township, NJ, USA", "2012"
"BMC Software ", "United States, New York, New York", "2011"
"BNG", "Undefined", "2010"
"BOLD International", "Portugal, Lisboa, Lisboa", "2011"
"BOOKING.COM", "The Netherlands, Amsterdam", "2007"
"BOOKINGS", "The Netherlands, Noord Holland, Amsterdam (based in the heart of Amsterdam)", "2001"
"BOOKINGS Europe BV", "The Netherlands, Noord-Holland, Amsterdam", "2004"
"BOOKINGS on-line hotel reservations", "The Netherlands, Amsterdam", "2003"
"BOOKINGS online hotel reservations", "Netherlands, Amsterdam", "2005"
"BTC S.L.", "Spain, Madrid, Madrid", "2010"
"Baboon Software", "Mexico, Mexico", "2009"
"BackCountry.com", "United States, UT, Park City", "2006"
"Backcountry.com", "United States, UT, Park City", "2008"
"Backup Solutions", "Bulgaria, Sofia", "2007"
"Bacon's Information, Inc.", "United States, Illinois, Chicago", "2001"
"BalanceZero Software", "United States, Texas, Dallas", "2002"
"Baldwin Forrester", "United States, ca, Palo Alto", "2007"
"Ballinger Media Solutions Ltd", "United Kingdom, Bucks, Milton Keynes", "2006"
"Bandtones LLC", "United States, TX, Houston", "2007"
"Bangalore Yankees", "India, Karnatka, Bangalore", "2004"
"Bank Of America", "United States, GA, Atlanta", "2007"
"Bank of America", "United States, GA, Atlanta", "2010"
"Banking", "Stamford, CT, United States", "2012"
"BannerBeans", "United States, NC, Wilson", "2004"
"Banzai People", "Cheshire, UK", "2013"
"Barclays Global Investors", "Australia, NSW, Sydney", "2007"
"BarclaysGlobal Investors", "United States, CA, San Francisco", "2003"
"BargainPHV.com", "United Kingdom, London", "2009"
"Bariatric Advantage", "United States, CA, Irvine", "2010"
"Barkani", "United States, New Jersey", "2013"
"Barrack, Rodos, and Bacine", "United States, PA, Philadelphia", "2004"
"Barracuda Networks", "United States, ca, cupertino", "2012"
"Barton Insurance Brokers", "Canada, BC, Chilliwack", "2002"
